Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s.2p.4s""","=""4P*""","=""5/2""",6,"=""""","=""135.923""","=""+x""","=""0.004""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""3/2""",4,"=""""","=""135.923""","=""+x""","=""0.004""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4s""","=""4P*""","=""1/2""",2,"=""""","=""135.923""","=""+x""","=""0.004""","=""  97                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""1/2""",2,"=""""","=""136.2118""","=""+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""3/2""",4,"=""""","=""136.2118""","=""+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""5/2""",6,"=""""","=""136.2118""","=""+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.4p""","=""4D""","=""7/2""",8,"=""""","=""136.2118""","=""+x?""","=""0.0014""","=""  70         :    25  1s.2s.9d            4D   ""","=""L12158"""
"=""1s.2p.(3P*).4p""","=""2P""","=""3/2""",4,"=""""","=""136.25""","=""""","=""0.05""","=""  93         :     6  1s.2p.(1P*).3p      2P   ""","=""L12158"""
"=""1s.2p.(3P*).4p""","=""2P""","=""1/2""",2,"=""""","=""136.25""","=""""","=""0.05""","=""  93         :     6  1s.2p.(1P*).3p      2P   ""","=""L12158"""
"=""1s.2p.4p""","=""4S""","=""3/2""",4,"=""""","=""136.3801""","=""+x?""","=""0.0015""","=""  58         :    23  1s.2s.10s           4S   ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""5/2""",6,"=""""","=""136.3972""","=""+x?""","=""0.0025""","=""  98                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""1/2""",2,"=""""","=""136.3972""","=""+x?""","=""0.0025""","=""  98                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""3/2""",4,"=""""","=""136.3972""","=""+x?""","=""0.0025""","=""  98                                           ""","=""L12158"""
"=""1s.2p.(3P*).4d""","=""2D*""","=""5/2""",6,"=""""","=""136.546""","=""""","=""0.012""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(3P*).4d""","=""2D*""","=""3/2""",4,"=""""","=""136.546""","=""""","=""0.012""","=""  99                                           ""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""5/2""",6,"=""""","=""136.6436""","=""+x""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""7/2""",8,"=""""","=""136.6436""","=""+x""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""3/2""",4,"=""""","=""136.6436""","=""+x""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""1/2""",2,"=""""","=""136.6436""","=""+x""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.(3P*).4f""","=""2F""","=""5/2""",6,"=""[""","=""136.673""","=""]""","=""0.012""","=""  99         :     1  1s.2p.(3P*).4f      4F   ""","=""L12158"""
"=""1s.2p.(3P*).4f""","=""2F""","=""7/2""",8,"=""[""","=""136.673""","=""]""","=""0.012""","=""  99         :     1  1s.2p.(3P*).4f      4F   ""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""9/2""",10,"=""[""","=""136.67473""","=""]+x""","=""0.00000""","="" 100                                           ""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""7/2""",8,"=""[""","=""136.67473""","=""]+x""","=""0.00000""","=""  99         :     1  1s.2p.(3P*).4f      2F   ""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""5/2""",6,"=""[""","=""136.67473""","=""]+x""","=""0.00000""","=""  99         :     1  1s.2p.(3P*).4f      2F   ""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""3/2""",4,"=""[""","=""136.67473""","=""]+x""","=""0.00000""","="" 100                                           ""","=""L12158"""
"=""1s.2p.4f""","=""4D""","=""7/2""",8,"=""""","=""136.7714""","=""+x""","=""0.0007""","=""  70         :    25  1s.2s.nd            4D   ""","=""L12158"""
"=""1s.2p.4f""","=""4D""","=""3/2""",4,"=""""","=""136.7714""","=""+x""","=""0.0007""","=""  70         :    25  1s.2s.nd            4D   ""","=""L12158"""
"=""1s.2p.4f""","=""4D""","=""5/2""",6,"=""""","=""136.7714""","=""+x""","=""0.0007""","=""  70         :    25  1s.2s.nd            4D   ""","=""L12158"""
"=""1s.2p.4f""","=""4D""","=""1/2""",2,"=""""","=""136.7714""","=""+x""","=""0.0007""","=""  70         :    25  1s.2s.nd            4D   ""","=""L12158"""
"=""Be III (1s.2s 3S<1>)""","=""Limit""","=""---""",,"=""""","=""136.802739""","=""""","=""0.000025""","=""                                               ""","="""""
"=""1s.2p.5d""","=""4D*""","=""3/2""",4,"=""""","=""137.918""","=""+x""","=""0.005""","="" 100                                           ""","=""L12158"""
"=""1s.2p.5d""","=""4D*""","=""5/2""",6,"=""""","=""137.918""","=""+x""","=""0.005""","="" 100                                           ""","=""L12158"""
"=""1s.2p.5d""","=""4D*""","=""7/2""",8,"=""""","=""137.918""","=""+x""","=""0.005""","="" 100                                           ""","=""L12158"""
"=""1s.2p.5d""","=""4D*""","=""1/2""",2,"=""""","=""137.918""","=""+x""","=""0.005""","="" 100                                           ""","=""L12158"""
"=""1s.2p.(3P*).5f""","=""2F""","=""7/2""",8,"=""""","=""137.927""","=""""","=""0.012""","=""  98         :     2  1s.2p.5f            4F   ""","=""L12158"""
"=""1s.2p.(3P*).5f""","=""2F""","=""5/2""",6,"=""""","=""137.927""","=""""","=""0.012""","=""  98         :     2  1s.2p.5f            4F   ""","=""L12158"""
"=""1s.2p.5f""","=""4F""","=""9/2""",10,"=""""","=""137.9292""","=""+x""","=""0.0015""","="" 100                                           ""","=""L12158"""
"=""1s.2p.5f""","=""4F""","=""7/2""",8,"=""""","=""137.9292""","=""+x""","=""0.0015""","=""  98         :     2  1s.2p.(3P*).5f      2F   ""","=""L12158"""
"=""1s.2p.5f""","=""4F""","=""3/2""",4,"=""""","=""137.9292""","=""+x""","=""0.0015""","="" 100                                           ""","=""L12158"""
"=""1s.2p.5f""","=""4F""","=""5/2""",6,"=""""","=""137.9292""","=""+x""","=""0.0015""","=""  98         :     2  1s.2p.(3P*).5f      2F   ""","=""L12158"""
"=""1s.2p.(1P*).4p""","=""2P""","=""3/2""",4,"=""""","=""137.96""","=""""","=""0.09""","=""  77         :    15  1s.2p.(3P*).5p      2P   ""","=""L12158"""
"=""1s.2p.(1P*).4p""","=""2P""","=""1/2""",2,"=""""","=""137.96""","=""""","=""0.09""","=""  77         :    15  1s.2p.(3P*).5p      2P   ""","=""L12158"""
"=""1s.2p.6d""","=""4D*""","=""7/2""",8,"=""""","=""138.5663""","=""+x?""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.6d""","=""4D*""","=""5/2""",6,"=""""","=""138.5663""","=""+x?""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.6d""","=""4D*""","=""3/2""",4,"=""""","=""138.5663""","=""+x?""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.6d""","=""4D*""","=""1/2""",2,"=""""","=""138.5663""","=""+x?""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.6f""","=""4F""","=""5/2""",6,"=""""","=""138.6078""","=""+x?""","=""0.0009""","=""  98         :     2  1s.2p.(3P*).6f      2F   ""","=""L12158"""
"=""1s.2p.6f""","=""4F""","=""7/2""",8,"=""""","=""138.6078""","=""+x?""","=""0.0009""","=""  98         :     2  1s.2p.(3P*).6f      2F   ""","=""L12158"""
"=""1s.2p.6f""","=""4F""","=""9/2""",10,"=""""","=""138.6078""","=""+x?""","=""0.0009""","=""  99                                           ""","=""L12158"""
"=""1s.2p.6f""","=""4F""","=""3/2""",4,"=""""","=""138.6078""","=""+x?""","=""0.0009""","="" 100                                           ""","=""L12158"""
"=""1s.2p.(1P*).5p""","=""2P""","=""1/2""",2,"=""""","=""139.363""","=""?""","=""0.016""","=""  96         :     2  1s.2p.(3P*).7p      2P   ""","=""L12158"""
"=""1s.2p.(1P*).5p""","=""2P""","=""3/2""",4,"=""""","=""139.363""","=""?""","=""0.016""","=""  96         :     2  1s.2p.(3P*).7p      2P   ""","=""L12158"""
"=""Be III (1s.2s 1S<0>)""","=""Limit""","=""---""",,"=""""","=""139.86140""","=""""","=""0.00006""","=""                                               ""","="""""
"=""Be III (1s.2p 3P*)""","=""Limit""","=""---""",,"=""""","=""140.13328""","=""""","=""0.00005""","=""                                               ""","="""""
"=""Be III (1s.2p 1P*<1>)""","=""Limit""","=""---""",,"=""""","=""141.87947""","=""""","=""0.00006""","=""                                               ""","="""""
"=""1s.(2S).3s.3p.(3P*)""","=""2P*""","=""3/2""",4,"=""""","=""148.24""","=""a""","=""0.05""","=""  95         :     4  1s.3p.(1P*).3d      2P*  ""","=""L12158"""
"=""1s.(2S).3s.3p.(3P*)""","=""2P*""","=""1/2""",2,"=""""","=""148.24""","=""a""","=""0.05""","=""  95         :     4  1s.3p.(1P*).3d      2P*  ""","=""L12158"""
"=""1s.(2S).3s.3p.(1P*)""","=""2P*""","=""3/2""",4,"=""""","=""150.13""","=""a?""","=""0.05""","=""  44         :    43  1s.3p.(3P*).3d      2P*  ""","=""L12158"""
"=""1s.(2S).3s.3p.(1P*)""","=""2P*""","=""1/2""",2,"=""""","=""150.13""","=""a?""","=""0.05""","=""  44         :    43  1s.3p.(3P*).3d      2P*  ""","=""L12158"""
"=""2s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""268.77""","=""a""","=""0.07""","=""  88         :    11  2p3                 2P*  ""","=""L12158"""
"=""2s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""268.77""","=""a""","=""0.07""","=""  88         :    11  2p3                 2P*  ""","=""L12158"""
"=""2s.2p2""","=""4P""","=""3/2""",4,"=""""","=""269.22""","=""a+x?""","=""0.12""","="" 100                                           ""","=""L12158"""
"=""2s.2p2""","=""4P""","=""5/2""",6,"=""""","=""269.22""","=""a+x?""","=""0.12""","="" 100                                           ""","=""L12158"""
"=""2s.2p2""","=""4P""","=""1/2""",2,"=""""","=""269.22""","=""a+x?""","=""0.12""","="" 100                                           ""","=""L12158"""
"=""2s.2p2""","=""2D""","=""3/2""",4,"=""""","=""272.65""","=""a""","=""0.07""","=""  99         :     1  2s2.3d              2D   ""","=""L12158"""
"=""2s.2p2""","=""2D""","=""5/2""",6,"=""""","=""272.65""","=""a""","=""0.07""","=""  99         :     1  2s2.3d              2D   ""","=""L12158"""
"=""2p3""","=""4S*""","=""3/2""",4,"=""""","=""274.56""","=""+x""","=""0.06""","="" 100                                           ""","=""L12158"""
"=""2s.2p2""","=""2S""","=""1/2""",2,"=""""","=""275.33""","=""a?""","=""0.12""","=""  98         :     1  2s.2p.(3P*).3p      2S   ""","=""L12158"""
"=""2s.2p2""","=""2P""","=""3/2""",4,"=""""","=""275.89""","=""a""","=""0.07""","="" 100                                           ""","=""L12158"""
"=""2s.2p2""","=""2P""","=""1/2""",2,"=""""","=""275.89""","=""a""","=""0.07""","="" 100                                           ""","=""L12158"""
"=""2p3""","=""2D*""","=""5/2""",6,"=""""","=""275.98""","=""a""","=""0.07""","=""  98         :     1  2s.2p.(3P*).3d      2D*  ""","=""L12158"""
"=""2p3""","=""2D*""","=""3/2""",4,"=""""","=""275.98""","=""a""","=""0.07""","=""  98         :     1  2s.2p.(3P*).3d      2D*  ""","=""L12158"""
"=""2p3""","=""2P*""","=""1/2""",2,"=""""","=""278.90""","=""a""","=""0.04""","=""  86         :    11  2s2.2p              2P*  ""","=""L12158"""
"=""2p3""","=""2P*""","=""3/2""",4,"=""""","=""278.90""","=""a""","=""0.04""","=""  86         :    11  2s2.2p              2P*  ""","=""L12158"""
"=""2s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""285.40""","=""a?""","=""0.04""","=""  47         :    37  2s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""2s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""285.40""","=""a?""","=""0.04""","=""  47         :    37  2s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""2s.2p.3p""","=""4P""","=""5/2""",6,"=""""","=""287.01""","=""a+x""","=""0.10""","="" 100                                           ""","=""L12158"""
"=""2s.2p.3p""","=""4P""","=""1/2""",2,"=""""","=""287.01""","=""a+x""","=""0.10""","="" 100                                           ""","=""L12158"""
"=""2s.2p.3p""","=""4P""","=""3/2""",4,"=""""","=""287.01""","=""a+x""","=""0.10""","="" 100                                           ""","=""L12158"""
"=""2s2.3d""","=""2D""","=""3/2""",4,"=""""","=""287.28""","=""a?""","=""0.04""","=""  65         :    16  2p2.(1S).3d         2D   ""","=""L12158"""
"=""2s2.3d""","=""2D""","=""5/2""",6,"=""""","=""287.28""","=""a?""","=""0.04""","=""  65         :    16  2p2.(1S).3d         2D   ""","=""L12158"""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,"=""""","=""288.10""","=""a""","=""0.04""","=""  91         :     6  2p2.(3P).3p         2D*  ""","=""L12158"""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,"=""""","=""288.10""","=""a""","=""0.04""","=""  91         :     6  2p2.(3P).3p         2D*  ""","=""L12158"""
